Date,Open,High,Low,Close,Adj Close,Volume
2023-05-31,2010.000000,2010.000000,1900.000000,1900.000000,1900.000000,16551900
2023-06-05,1910.000000,1965.000000,1900.000000,1930.000000,1930.000000,27623400
2023-06-06,1950.000000,1950.000000,1905.000000,1925.000000,1925.000000,24020500
2023-06-07,1950.000000,1950.000000,1865.000000,1885.000000,1885.000000,50055900
2023-06-08,1885.000000,1935.000000,1885.000000,1900.000000,1900.000000,29076600
2023-06-09,1900.000000,1920.000000,1890.000000,1900.000000,1900.000000,16352400
2023-06-12,1905.000000,1905.000000,1855.000000,1870.000000,1870.000000,37523500
2023-06-13,1875.000000,1930.000000,1870.000000,1915.000000,1915.000000,27001300
2023-06-14,1925.000000,1940.000000,1915.000000,1925.000000,1925.000000,23451700
2023-06-15,1925.000000,1945.000000,1915.000000,1935.000000,1935.000000,9449300
2023-06-16,1935.000000,1950.000000,1890.000000,1900.000000,1900.000000,31722600
2023-06-19,1900.000000,1915.000000,1895.000000,1905.000000,1905.000000,16813000
2023-06-20,1910.000000,1990.000000,1900.000000,1970.000000,1970.000000,35263800
2023-06-21,1965.000000,2040.000000,1930.000000,2020.000000,2020.000000,50021000
2023-06-22,2010.000000,2200.000000,2010.000000,2170.000000,2170.000000,56182600
2023-06-23,2170.000000,2190.000000,2090.000000,2110.000000,2110.000000,36405700
2023-06-26,2120.000000,2160.000000,2090.000000,2110.000000,2110.000000,33311100
2023-06-27,2120.000000,2160.000000,1995.000000,2070.000000,2070.000000,37739400
2023-07-03,2070.000000,2270.000000,2060.000000,2270.000000,2270.000000,43398100
2023-07-04,2270.000000,2310.000000,2200.000000,2290.000000,2290.000000,30735700
2023-07-05,2290.000000,2300.000000,2200.000000,2240.000000,2240.000000,28710500
2023-07-06,2230.000000,2270.000000,2220.000000,2230.000000,2230.000000,15015700
2023-07-07,2240.000000,2240.000000,2210.000000,2220.000000,2220.000000,11179000
2023-07-10,2220.000000,2250.000000,2150.000000,2170.000000,2170.000000,24623400
